file,topiq_score,topiq_face_score
dddmkaH7Cm8_segment_2_step1-0-431_step2-0-431_step4_step5_step6_1104x0832_fp,0.31102314591407776,0.42091313004493713
_zXkxPu67jQ_segment_7_step1-0-129_step2-0-95_step4_step5_step6_1760x1184_fp,0.5579527020454407,0.45410269498825073
Hez0RqildMU_segment_1_step1-0-119_step2-0-119_step4_step5_step6_1280x0720_fp,0.5302851796150208,0.5888689160346985
B9w1UNIZAlo_segment_30_step1-0-187_step2-0-187_step4_step5_step6_1280x0720_fp,0.4301830530166626,0.44910624623298645
qJB_eV0lK9s_segment_11_step1-2-207_step2-2-205_step4_step5_step6_1104x0832_fp,0.31762659549713135,0.457587867975235
sWTZ4JWODP0_segment_22_step1-0-165_step2-0-165_step4_step5_step6_1616x1280_fp,0.40213072299957275,0.6474393606185913
OERaVTHF5pU_segment_3_step1-0-263_step2-0-263_step4_step5_step6_1072x0864_fp,0.21607232093811035,0.15094339847564697
Wa2v42TOqEw_segment_1_step1-74-199_step2-74-125_step4_step5_step6_1104x0832_fp,0.470111221075058,0.6225050687789917
WRZq4i9t6tI_segment_14_step1-0-123_step2-0-123_step4_step5_step6_1280x0720_fp,0.2504615783691406,0.2905815839767456
-CfbInm7TW4_segment_30_step1-0-165_step2-0-165_step4_step5_step6_1616x1280_fp,0.254863440990448,0.41193249821662903
AX3Pg_rEFk8_segment_30_step1-0-89_step2-0-89_step4_step5_step6_1184x0784_fp,0.3876900374889374,0.342635840177536
W_IJHvI28T4_segment_16_step1-0-61_step2-0-61_step4_step5_step6_1184x0784_fp,0.2722964882850647,0.3481043577194214
jFxgOMQpdoQ_segment_7_step1-116-511_step2-116-395_step4_step5_step6_1520x0608_fp,0.3201657235622406,0.5605008006095886
ixbbZgou_NE_segment_0_step1-0-239_step2-0-239_step4_step5_step6_0960x0960_fp,0.2990522086620331,0.29567527770996094
VUYoavdw2v4_segment_16_step1-0-197_step2-0-197_step4_step5_step6_1488x0624_fp,0.27495065331459045,0.0
KXSizg4SSCw_segment_45_step1-0-71_step2-0-71_step4_step5_step6_1440x1440_fp,0.26396501064300537,0.5852097272872925
VKIiDMg8umE_segment_10_step1-0-53_step2-0-53_step4_step5_step6_1488x0624_fp,0.330096960067749,0.38253381848335266
nw56UtNAPrA_segment_15_step1-0-75_step2-0-75_step4_step5_step6_1072x0864_fp,0.25926557183265686,0.5206218957901001
qItnEuf9Bts_segment_1_step1-220-511_step2-220-291_step4_step5_step6_1104x0832_fp,0.35149621963500977,0.6079785823822021
0dxbe8JUm_c_segment_5_step1-0-103_step2-0-103_step4_step5_step6_1440x1440_fp,0.328290194272995,0.6030569672584534
Q5pCHn2-cEs_segment_8_step1-78-255_step2-78-177_step4_step5_step6_0960x0960_fp,0.2242060899734497,0.41128286719322205
U1wZ255jdrQ_segment_8_step1-0-137_step2-0-137_step4_step5_step6_1104x0832_fp,0.3497360348701477,0.3389089107513428
gE92XtxCnyg_segment_23_step1-0-95_step2-0-95_step4_step5_step6_1184x0784_fp,0.42587926983833313,0.5080379843711853
g6H-sf8WbTY_segment_24_step1-0-145_step2-0-145_step4_step5_step6_1616x1280_fp,0.32333099842071533,0.5212388634681702
jFR75mtpNZQ_segment_14_step1-0-49_step2-0-49_step4_step5_step6_0960x0960_fp,0.30270665884017944,0.4205404222011566
Ys2iI0ZAPtI_segment_23_step1-0-271_step2-0-271_step4_step5_step6_1280x0720_fp,0.4578873813152313,0.6728535890579224
B2C-kYbz8Wo_segment_62_step1-0-79_step2-0-79_step4_step5_step6_1920x1088_fp,0.38016921281814575,0.4972035884857178
UqMQCC163lA_segment_6_step1-30-149_step2-30-119_step4_step5_step6_0960x0960_fp,0.2978156805038452,0.3316428065299988
ReOsL0TCvME_segment_19_step1-0-101_step2-0-101_step4_step5_step6_1104x0832_fp,0.3167831003665924,0.5281400084495544
pxrK9OLsbsA_segment_3_step1-0-111_step2-0-111_step4_step5_step6_0960x0960_fp,0.21937191486358643,0.4166044294834137
0eENye26mQU_segment_78_step1-0-97_step2-0-97_step4_step5_step6_1184x0784_fp,0.36307716369628906,0.0
DIvSUWBxBKk_segment_23_step1-0-161_step2-0-161_step4_step5_step6_1488x0624_fp,0.4004802405834198,0.5846294164657593
t3vdN_37L7g_segment_68_step1-48-221_step2-48-173_step4_step5_step6_1104x0832_fp,0.33038848638534546,0.5136204361915588
cXQohzBM-8U_segment_25_step1-0-59_step2-0-59_step4_step5_step6_1280x0720_fp,0.325859934091568,0.2676418721675873
BAGWW3tp0OE_segment_16_step1-0-55_step2-0-55_step4_step5_step6_0960x0960_fp,0.28100329637527466,0.33509814739227295
Z__jTXmjtUY_segment_18_step1-2-57_step2-2-55_step4_step5_step6_0960x0960_fp,0.23622530698776245,0.33713728189468384
